"ID","prompt","response","set","lab","responseorder","rating","rater1","rater2","rater3","rater4"
18,"konservendose","Versteck",12,7,3,1,1,1,1,1
18,"konservendose","Sparbüchse",12,7,4,1.25,1,2,1,1
18,"konservendose","Zeichenschablone",12,7,5,1,1,1,1,1
18,"konservendose","Stiftehalter",12,7,6,1,1,1,1,1
18,"konservendose","Mausefalle",12,7,7,1.75,1,2,2,2
18,"konservendose","Wurfgeschoss",12,7,8,1,1,1,1,1
18,"konservendose","Nudelholz",12,7,9,1.5,2,2,1,1
19,"konservendose","Aufbewahrung",12,7,1,0.5,1,1,0,0
19,"konservendose","Besteckbehälter",12,7,2,1,1,1,1,1
19,"konservendose","Schneiden",12,7,3,1.25,1,1,2,1
19,"konservendose","Gefäß",12,7,4,0.75,1,1,0,1
19,"konservendose","Spielzeug?",12,7,5,1,1,1,1,1
20,"konservendose","als zeitmessinstrument-> geöffnete dosen mit kippmechanismus verbunden und mit geregelter wasserzufur kippen zb nach genau einer minuten, entleeren, und messen eine weitere minute",12,7,1,3,3,3,3,3
20,"konservendose","frisbee -> deckel",12,7,2,2,2,2,2,2
20,"konservendose","schneidwerkzeug -> deckel",12,7,3,1.25,1,1,2,1
20,"konservendose","vorlage für einen nahezu perfekten kreis -> deckel",12,7,4,1.25,1,1,2,1
20,"konservendose","als einfanggefäß für spinnen und anderes krabbelgetier -> geöffnet",12,7,5,1.5,2,2,1,1
20,"konservendose","als wurfspielzeug mit einem freund",12,7,6,1,1,1,1,1
21,"konservendose","Vase",12,7,1,1,1,1,1,1
21,"konservendose","Stiftebehälter",12,7,2,1,1,1,1,1
21,"konservendose","an Auto angekettet für Frischvermählte",12,7,3,1.25,1,1,2,1
21,"konservendose","Telefon für Kinder",12,7,4,1,1,1,1,1
21,"konservendose","Faschingshut",12,7,5,1.25,1,2,1,1
21,"konservendose","Essigbehälter gegen Wespen",12,7,6,1.25,2,2,0,1
21,"konservendose","Instrument",12,7,7,1.5,2,1,1,2
21,"konservendose","Keksausstecher",12,7,8,1,1,1,1,1
22,"konservendose","Dosen werfen",12,7,1,1,1,1,1,1
22,"konservendose","Schnurtelefon",12,7,2,1,1,1,1,1
22,"konservendose","Lärm machen",12,7,3,0.75,2,1,0,0
22,"konservendose","Kunst",12,7,4,1.25,1,1,1,2
22,"konservendose","schneiden",12,7,5,1.25,1,1,2,1
23,"konservendose","Haus bauen",12,7,1,1,1,1,1,1
23,"konservendose","als sonnen schutz",12,7,2,1.75,2,2,1,2
23,"konservendose","bildschirm halterung",12,7,3,1.75,2,2,2,1
23,"konservendose","Krone",12,7,4,1.25,1,1,1,2
23,"konservendose","Computer gehäuse",12,7,5,2.25,2,2,3,2
24,"konservendose","telefon basteln",12,7,1,1,1,1,1,1
24,"konservendose","als sparbüchse benützen",12,7,2,1.25,1,2,1,1
24,"konservendose","stifte hinein tun",12,7,3,1,1,1,1,1
24,"konservendose","daraus essen entnehmen",12,7,4,0.25,0,1,0,0
24,"konservendose","zu turm stappeln",12,7,5,1,1,1,1,1
24,"konservendose","pyramide bauen",12,7,6,1,1,1,1,1
24,"konservendose","ein kugel rein geben und mit katze spielen",12,7,7,2,3,2,2,1
24,"konservendose","als treppenlift für kleinen dinge, von einem stock zum anderen (mit einem seil) benützen",12,7,8,2,2,2,1,3
24,"konservendose","vogelbad für garten",12,7,9,1.5,1,1,2,2
25,"konservendose","zum basteln",12,7,1,1,1,1,1,1
25,"konservendose","Alarmanlage",12,7,2,1.75,2,2,2,1
25,"konservendose","Blumentopf",12,7,3,1,1,1,1,1
26,"konservendose","Basteln",12,7,1,1,1,1,1,1
26,"konservendose","Hut draus machen",12,7,2,1.25,2,1,1,1
26,"konservendose","Kühl""beutel""",12,7,3,1.75,1,2,2,2
26,"konservendose","Auto-Anhängsel bei Hochzeit",12,7,4,1.25,1,1,2,1
26,"konservendose","Armband",12,7,5,1.75,2,2,2,1
26,"konservendose","Ohrringe",12,7,6,1.75,2,2,1,2
26,"konservendose","Haarschmuck",12,7,7,1,2,1,0,1
26,"konservendose","Fernrohr",12,7,8,1,1,2,0,1
27,"konservendose","telefon",12,7,1,1,1,1,1,1
27,"konservendose","lampe",12,7,2,1.75,3,2,1,1
27,"konservendose","funkgerät",12,7,3,1.25,2,1,1,1
27,"konservendose","schrankpfosten",12,7,4,1.25,2,1,1,1
27,"konservendose","stiftebox",12,7,5,1,1,1,1,1
27,"konservendose","konservieren",12,7,6,0,0,0,0,0
27,"konservendose","ums sie einzuschmelzen",12,7,7,0.75,1,1,1,0
27,"konservendose","musikmachen",12,7,8,1,1,1,1,1
27,"konservendose","um jemanden zu blenden",12,7,9,2,2,2,2,2
27,"konservendose","also überdimensional hervorstehende brillengläser",12,7,10,2.25,2,3,2,2
28,"konservendose","stiftebecher",12,7,1,1,1,1,1,1
28,"konservendose","Becher",12,7,2,1.25,2,1,1,1
28,"konservendose","suppenteller",12,7,3,0.5,0,1,0,1
28,"konservendose","aschenbecher#",12,7,4,1,2,1,1,0
28,"konservendose","unterlegen von Möbeln",12,7,5,1.25,2,1,1,1
28,"konservendose","Kerzenbecher",12,7,6,1,1,1,1,1
29,"konservendose","als hut",12,7,1,1.25,2,1,1,1
29,"konservendose","handschuhe im winter",12,7,2,1.5,2,3,0,1
29,"konservendose","gelddose",12,7,3,1.25,1,2,1,1
29,"konservendose","telefon basteln",12,7,4,1,1,1,1,1
29,"konservendose","in den mund nehmen und dann sprachübungen machen",12,7,5,1.25,1,2,0,2
29,"konservendose","als urin-becher",12,7,6,1.5,2,1,2,1
29,"konservendose","sachen reinwerfen - als spiel",12,7,7,1,1,1,1,1
29,"konservendose","als blumenvase",12,7,8,1,1,1,1,1
29,"konservendose","als mistkübel beim fingernägel schneiden",12,7,9,1.5,2,2,1,1
29,"konservendose","zum kekse backen zum ausrollen vom teig",12,7,10,1.5,1,2,1,2
30,"konservendose","zur Ernährung",12,7,1,0.25,0,1,0,0
30,"konservendose","zum Wut abreagieren",12,7,2,1,1,1,1,1
30,"konservendose","zum Entsorgen",12,7,3,0.25,0,0,1,0
30,"konservendose","zerdrücken",12,7,4,0.25,0,0,1,0
30,"konservendose","wegwerfen",12,7,5,0,0,0,0,0
30,"konservendose","lagern",12,7,6,0,0,0,0,0
30,"konservendose","den Inhalt dem Haustier zum Fressen geben",12,7,7,0.25,0,1,0,0
30,"konservendose","entleeren",12,7,8,0,0,0,0,0
30,"konservendose","befüllen",12,7,9,0.25,0,1,0,0
30,"konservendose","auf ein Regal stellen",12,7,10,0.25,0,0,1,0
30,"konservendose","Kunst",12,7,11,1.25,1,1,1,2
30,"konservendose","bemalen",12,7,12,0.75,1,1,0,1
31,"konservendose","BEHÄLTER FÜR STIFTE",12,7,1,0.5,1,1,0,0
31,"konservendose","BLUMMENVASE",12,7,2,1,1,1,1,1
31,"konservendose","TELEFON",12,7,3,1,1,1,1,1
31,"konservendose","TRINKGLAS",12,7,4,1,1,1,1,1
31,"konservendose","GESCHENKSBEHÄLTER",12,7,5,1,1,1,1,1
31,"konservendose","LAMPE",12,7,6,1.75,3,2,1,1
31,"konservendose","BEHÄLTER FÜR BESTEKC",12,7,7,0.75,2,1,0,0
31,"konservendose","DOSEN WERFEN SPIEL",12,7,8,1,1,1,1,1
32,"konservendose","basteln",12,7,1,1,1,1,1,1
32,"konservendose","""telefon"" basteln (mit schnüren)",12,7,2,1.25,1,1,1,2
32,"konservendose","lebenmittel aufbewahren",12,7,3,0.25,0,1,0,0
32,"konservendose","als pins für kegeln",12,7,4,1,1,1,1,1
32,"konservendose","als ball werfen",12,7,5,1,1,1,1,1
32,"konservendose","stelzen basteln",12,7,6,1.25,1,2,1,1
32,"konservendose","säule bauen",12,7,7,1,1,1,1,1
32,"konservendose","blumentopf",12,7,8,1,1,1,1,1
33,"konservendose","Dosenwerfen",12,7,1,1,1,1,1,1
33,"konservendose","dosenstapel bauen",12,7,2,1,1,1,1,1
33,"konservendose","Dosenöffner testen",12,7,3,1,2,1,1,0
33,"konservendose","Inhalt konservieren",12,7,4,0,0,0,0,0
33,"konservendose","Telefon nachbauen (Dose - Schnur - Dose)",12,7,5,1,1,1,1,1
33,"konservendose","Recycling",12,7,6,0.5,1,0,1,0
33,"konservendose","Fensterwscheibe kaputt werfen",12,7,7,1.5,2,2,1,1
33,"konservendose","Gulasch unterwegs",12,7,8,0.25,0,0,1,0
33,"konservendose","Rassel bauen",12,7,9,1,1,1,1,1
33,"konservendose","basteln",12,7,10,1,1,1,1,1
33,"konservendose","trinkbecher",12,7,11,1,1,1,1,1
33,"konservendose","scharfer deckel als schneidewerkzeug",12,7,12,1.25,1,1,2,1
34,"konservendose","als Spardose",12,7,1,1.25,1,2,1,1
34,"konservendose","um Speisen aufzubewahren",12,7,2,0.25,0,1,0,0
34,"konservendose","als Geschenkbox",12,7,3,1,1,1,1,1
34,"konservendose","zum Dosenschießen",12,7,4,1,1,1,1,1
34,"konservendose","um Fische zu transportieren",12,7,5,1.25,1,2,1,1
34,"konservendose","als Instrument",12,7,6,1.5,2,1,1,2
35,"konservendose","Blumentopf",12,7,1,1,1,1,1,1
35,"konservendose","Stifteaufbewahrung",12,7,2,1,1,1,1,1
35,"konservendose","Deko",12,7,3,0.75,1,1,1,0
35,"konservendose","Sammelbehälter",12,7,4,1,1,1,1,1
35,"konservendose","Trinkbecher",12,7,5,1,1,1,1,1
35,"konservendose","Armreifen wenn sie auseinander geschnitten sind",12,7,6,1.75,2,2,2,1
35,"konservendose","Kerzenhalter",12,7,7,1,1,1,1,1
35,"konservendose","Zahnputzbecher",12,7,8,1,1,1,1,1
35,"konservendose","Geschenkebox",12,7,9,1,1,1,1,1
35,"konservendose","Trinkgeldbecher",12,7,10,1,1,1,1,1
35,"konservendose","Wirfspiel",12,7,11,1,1,1,1,1
35,"konservendose","Sitzmöglichkeit wenn man sie befestigt miteinander",12,7,12,1.5,2,2,1,1
36,"konservendose","Stiftebecher",12,7,1,1,1,1,1,1
36,"konservendose","Bechertelefon",12,7,2,1,1,1,1,1
36,"konservendose","Aufbewahrung von Büroklammern und anderem Kleinkram",12,7,3,0.5,1,1,0,0
36,"konservendose","Hut",12,7,4,1.25,2,1,1,1
36,"konservendose","Essensaufbewahrung",12,7,5,0,0,0,0,0
36,"konservendose","Blumentopf",12,7,6,1,1,1,1,1
36,"konservendose","Geschenkverpackung",12,7,7,1.25,2,1,1,1
36,"konservendose","Tresor (getarnt als normale Konservendose)",12,7,8,2,2,2,2,2
37,"konservendose","Sparschwein",12,7,1,1.25,1,2,1,1
37,"konservendose","Briefbeschwerer",12,7,2,1.5,2,1,2,1
37,"konservendose","aufbewahrungsdose",12,7,3,0.25,0,1,0,0
37,"konservendose","Spielzeug",12,7,4,1,1,1,1,1
37,"konservendose","zum basteln",12,7,5,1,1,1,1,1
37,"konservendose","Teelicht",12,7,6,1,1,1,1,1
38,"konservendose","Bleistifthälterung",12,7,1,1,1,1,1,1
38,"konservendose","zum Teil ausrollen",12,7,2,1.5,2,2,1,1
38,"konservendose","Aufbewahrung von Lebensmittel generell",12,7,3,0.25,0,1,0,0
38,"konservendose","Dosenwerfen",12,7,4,1,1,1,1,1
38,"konservendose","Bau einer Rassel",12,7,5,1.25,2,1,1,1
39,"konservendose","Dekoration",12,7,1,0.75,1,1,1,0
39,"konservendose","Stifthalter",12,7,2,1,1,1,1,1
39,"konservendose","Aschenbecher",12,7,3,1,2,1,1,0
39,"konservendose","Mit vielen Dosen einen Tisch bauen",12,7,4,1.75,2,2,1,2
39,"konservendose","als Glas",12,7,5,1,1,1,1,1
39,"konservendose","als Blumenvase",12,7,6,1,1,1,1,1
39,"konservendose","als Fußball",12,7,7,1,1,1,1,1
39,"konservendose","als Tischtennisball",12,7,8,1,1,1,1,1
40,"konservendose","steppschuhe",12,7,1,2.75,3,2,3,3
40,"konservendose","balancieren",12,7,2,1.5,2,1,2,1
40,"konservendose","dosen werfen",12,7,3,1,1,1,1,1
40,"konservendose","telefon",12,7,4,1,1,1,1,1
40,"konservendose","befüllen mit sand",12,7,5,0.5,0,1,0,1
40,"konservendose","darauf gehen",12,7,6,1,2,1,0,1
40,"konservendose","turm bauen",12,7,7,1,1,1,1,1
40,"konservendose","als runde form für zeichnungen",12,7,8,1,1,1,1,1
40,"konservendose","hut",12,7,9,1.25,2,1,1,1
40,"konservendose","trommel",12,7,10,1,1,1,1,1
41,"konservendose","Musik",12,7,1,1,1,1,1,1
41,"konservendose","Sammeln",12,7,2,0.75,1,1,1,0
41,"konservendose","Aufbewhren",12,7,3,0.25,0,1,0,0
41,"konservendose","Zahnputzbecher",12,7,4,1,1,1,1,1
41,"konservendose","Fernrohr",12,7,5,1,1,2,0,1
41,"konservendose","Hörrohr",12,7,6,1.25,2,1,1,1
41,"konservendose","Trommel",12,7,7,1,1,1,1,1
41,"konservendose","Rassel",12,7,8,1,1,1,1,1
41,"konservendose","Hundespielzeug",12,7,9,1,1,1,1,1
41,"konservendose","Vorratsdose",12,7,10,0.25,0,1,0,0
42,"konservendose","aufbewahrun von nahrungsmittel",12,7,1,0.25,0,1,0,0
42,"konservendose","zum spielen mit einem ball",12,7,2,1.25,1,1,1,2
42,"konservendose","als kerzenhalter",12,7,3,1,1,1,1,1
42,"konservendose","um musik zu machen",12,7,4,1,1,1,1,1
42,"konservendose","fußball damit spielen",12,7,5,1,1,1,1,1
42,"konservendose","als korb für ein mini-basketball-spiel",12,7,6,2,1,2,3,2
43,"konservendose","Ameisenzucht",12,7,1,1.5,2,2,1,1
43,"konservendose","Ersatz für Ziegel",12,7,2,1.5,2,2,1,1
44,"konservendose","hut",12,7,1,1.25,2,1,1,1
44,"konservendose","schmuck",12,7,2,1,1,1,1,1
44,"konservendose","stelzen",12,7,3,1.25,1,2,1,1
44,"konservendose","ohrenschutz (winter)",12,7,4,1.5,2,2,0,2
44,"konservendose","aufbewahrung",12,7,5,0.5,1,1,0,0
44,"konservendose","spielen (mit ball umstoßen)",12,7,6,1,1,1,1,1
45,"konservendose","stifthalterung",12,7,1,1,1,1,1,1
45,"konservendose","vase",12,7,2,1,1,1,1,1
45,"konservendose","trinkgefäß",12,7,3,1,1,1,1,1
45,"konservendose","zirkel",12,7,4,1.25,2,1,1,1
45,"konservendose","gießkanne",12,7,5,1.75,3,1,1,2
45,"konservendose","schöpfer",12,7,6,1.25,2,1,1,1
46,"konservendose","Schmuckaufbewahrung",12,7,1,1,1,1,1,1
46,"konservendose","Dosenschießen",12,7,2,1,1,1,1,1
46,"konservendose","Als Sparbüchse",12,7,3,1.25,1,2,1,1
46,"konservendose","wiederverwerten",12,7,4,0.75,1,1,1,0
46,"konservendose","als messer",12,7,5,1.25,2,1,1,1
46,"konservendose","etwas darauf basteln",12,7,6,0.5,1,1,0,0
46,"konservendose","Geschenk für Arme",12,7,7,0.75,1,1,1,0
46,"konservendose","Christbaumschnmcuk",12,7,8,1.5,2,2,1,1
46,"konservendose","Trinkbecher",12,7,9,1,1,1,1,1
46,"konservendose","Stiftehalter",12,7,10,1,1,1,1,1
46,"konservendose","Falle für Insekten",12,7,11,1.75,2,2,2,1
46,"konservendose","Kerze hineingießen",12,7,12,1,1,1,1,1
46,"konservendose","Trinkbecher",12,7,13,1,1,1,1,1
47,"konservendose","nahrungsaufbewahrung",12,7,1,0.25,0,1,0,0
47,"konservendose","telefonspiele",12,7,2,1,1,1,1,1
47,"konservendose","recylen",12,7,3,0.5,1,0,1,0
47,"konservendose","zielschießen",12,7,4,1,1,1,1,1
47,"konservendose","kaputtmachen",12,7,5,0.25,1,0,0,0
47,"konservendose","basteln",12,7,6,1,1,1,1,1
47,"konservendose","bauen",12,7,7,1,1,1,1,1
47,"konservendose","wurfspiele",12,7,8,1,1,1,1,1
47,"konservendose","anmalen",12,7,9,1,1,1,1,1
47,"konservendose","sammeln",12,7,10,0.75,1,1,1,0
47,"konservendose","kunst",12,7,11,1.25,1,1,1,2
47,"konservendose","aufbewahren",12,7,12,0.5,1,1,0,0
47,"konservendose","versteck#",12,7,13,1,1,1,1,1
48,"konservendose","zierde",12,7,1,1,1,1,1,1
48,"konservendose","nachfüllen",12,7,2,0.5,0,1,0,1
48,"konservendose","wurfgegenstand",12,7,3,1,1,1,1,1
48,"konservendose","schreibunterlage",12,7,4,0.75,1,1,0,1
48,"konservendose","baustein",12,7,5,1,1,1,1,1
48,"konservendose","understatement",12,7,6,0.75,1,0,0,2
48,"konservendose","wiederverwertung",12,7,7,0.75,1,1,1,0
48,"konservendose","als quelle für dosenaufmacher",12,7,8,0.75,1,1,0,1
48,"konservendose","als rechtfertigung für ein automatischen dosenöffner",12,7,9,1.75,0,3,3,1
48,"konservendose","Sammelbehälter",12,7,10,1,1,1,1,1
49,"konservendose","man kann darauf schießen",12,7,1,1,1,1,1,1
49,"konservendose","etwas damit bewerfen",12,7,2,0.5,1,1,0,0
49,"konservendose","anmahlen und etwas darin aufbewahlen",12,7,3,1,1,1,1,1
49,"konservendose","telefon basteln",12,7,4,1,1,1,1,1
49,"konservendose","wegwerfen",12,7,5,0,0,0,0,0
49,"konservendose","tischbeinverlängerung",12,7,6,1.25,2,1,1,1
49,"konservendose","türstopper",12,7,7,1.25,1,2,1,1
50,"konservendose","öffnen",12,7,1,0,0,0,0,0
50,"konservendose","lagern",12,7,2,0,0,0,0,0
50,"konservendose","werfen",12,7,3,1,1,1,1,1
50,"konservendose","fallen lassen",12,7,4,0,0,0,0,0
50,"konservendose","einfrieren und zerschlagen",12,7,5,0.75,0,2,1,0
50,"konservendose","turm bauen",12,7,6,1,1,1,1,1
50,"konservendose","kunstwerk",12,7,7,1.25,1,1,1,2
