"ID","prompt","response","set","lab","rater1","rater2","rater3","RAPM-Gf","BFI-Extraversion","BFI-Agreeableness","BFI-Consciousness","BFI-Openness","BFI-Neuroticism"
149,"картонная коробка","Разрезать коробки и сделать из них открытки",22,13,3,3,2,7,31,40,26,27,34
150,"картонная коробка","Мини-кинотеатр в домашних условиях",22,13,4,3,4,9,22,21,22,25,41
151,"картонная коробка","Сделать костюм на Хэллоуин или вечеринку",22,13,3,2,2,9,22,21,22,25,41
152,"картонная коробка","Удобное место для домашнего питомца",22,13,1,1,1,9,22,21,22,25,41
153,"картонная коробка","Крепость для детей",22,13,1,2,1,9,22,21,22,25,41
154,"картонная коробка","Использовать вместо цветочных горшков",22,13,1,2,3,9,22,21,22,25,41
155,"картонная коробка","Можно сделать стул",22,13,2,3,2,9,22,21,22,25,41
156,"картонная коробка","Использовать как штамп для украшения",22,13,2,2,1,9,22,21,22,25,41
157,"картонная коробка","В жару носить вместо головного убора",22,13,3,3,3,9,22,21,22,25,41
158,"картонная коробка","Из нескольких коробок можно сделать шкаф",22,13,2,2,2,9,22,21,22,25,41
159,"картонная коробка","Сделать из коробок домашнего питомца",22,13,2,4,3,7,31,35,29,35,28
160,"картонная коробка","Сделать игрушки для детей",22,13,2,2,2,7,31,35,29,35,28
161,"картонная коробка","Сделать одежду",22,13,2,2,2,7,31,35,29,35,28
162,"картонная коробка","Сделать робота-помощника",22,13,2,3,3,7,31,35,29,35,28
163,"картонная коробка","Использовать как лестницу",22,13,2,3,1,7,31,35,29,35,28
164,"картонная коробка","Построить из коробок замок",22,13,1,1,1,7,31,35,29,35,28
165,"картонная коробка","Соорудить самолёт",22,13,2,2,2,7,31,35,29,35,28
166,"картонная коробка","Сделать из коробок воздушного змея",22,13,4,4,3,7,31,35,29,35,28
167,"картонная коробка","Сделать из коробок заплатки для одежды",22,13,4,2,2,7,31,35,29,35,28
168,"картонная коробка","Сделать модную коробковую сумочку",22,13,3,3,3,7,31,35,29,35,28
169,"картонная коробка","Устроить коробковый показ мод",22,13,5,5,2,7,31,35,29,35,28
170,"картонная коробка","Спать на коробках",22,13,2,2,2,7,31,35,29,35,28
171,"картонная коробка","Сделать кубик Рубика из коробок",22,13,4,3,4,7,31,35,29,35,28
172,"картонная коробка","Придумать духи с запахом коробок",22,13,3,2,1,7,31,35,29,35,28
173,"картонная коробка","Хранение вещей",22,13,1,1,1,6,28,33,33,31,17
174,"картонная коробка","Мебель",22,13,2,2,2,6,28,33,33,31,17
175,"картонная коробка","Корпус для компьютера",22,13,3,3,3,6,28,33,33,31,17
176,"картонная коробка","Замок",22,13,1,2,1,6,28,33,33,31,17
177,"картонная коробка","Дом",22,13,1,1,1,6,28,33,33,31,17
178,"картонная коробка","Дом для животных",22,13,1,1,1,6,28,33,33,31,17
179,"картонная коробка","Стенка",22,13,2,2,2,6,28,33,33,31,17
180,"картонная коробка","Прыжок в бассейн с коробками",22,13,3,3,4,6,28,33,33,31,17
181,"картонная коробка","Щит",22,13,2,2,2,6,28,33,33,31,17
182,"картонная коробка","Форма для чего-либо",22,13,1,2,2,6,28,33,33,31,17
183,"картонная коробка","Корабль",22,13,2,2,2,6,28,33,33,31,17
184,"картонная коробка","Самолёт",22,13,2,2,2,6,28,33,33,31,17
185,"картонная коробка","Костюм робота",22,13,2,2,2,13,31,43,36,30,22
186,"картонная коробка","Дом для кошек, мышей и т.д.",22,13,1,1,1,13,31,43,36,30,22
187,"картонная коробка","Рыцарские доспехи",22,13,2,2,2,13,31,43,36,30,22
188,"картонная коробка","Уголок для маленького ребёнка",22,13,3,2,2,13,31,43,36,30,22
189,"картонная коробка","Красивый светильник на ночь",22,13,3,3,4,13,31,43,36,30,22
190,"картонная коробка","Средство для скатывания с ледяных горок",22,13,2,2,3,13,31,43,36,30,22
191,"картонная коробка","Какая-нибудь постройка (замок, дом и т.д.)",22,13,1,1,1,13,31,43,36,30,22
192,"картонная коробка","Оружие (мечи, пистолеты, автоматы)",22,13,2,2,2,13,31,43,36,30,22
193,"картонная коробка","Оригинальное украшение для своего рабочего стола",22,13,2,2,2,13,31,43,36,30,22
194,"картонная коробка","Подставка для телефона",22,13,2,3,2,13,31,43,36,30,22
195,"картонная коробка","Построить небольшой картонный дом, вся мебель в котором будет картонной",22,13,2,2,1,10,31,32,31,27,27
196,"картонная коробка","Устроить картонную выставку, куда люди смогут приносить свои изделия из картона",22,13,4,4,2,10,31,32,31,27,27
197,"картонная коробка","Использовать как большой конструктор",22,13,3,2,4,10,31,32,31,27,27
198,"картонная коробка","Можно использовать их для создания различных аксессуаров",22,13,2,1,2,8,33,26,19,28,35
199,"картонная коробка","Декорировать и хранить там любые вещи в квартире",22,13,1,1,1,8,33,26,19,28,35
200,"картонная коробка","Создавать развивающие игрушки для детей не из пластика, а из картона",22,13,3,2,2,8,33,26,19,28,35
201,"картонная коробка","Путём спрессовывания можно создавать мебель",22,13,2,2,3,8,33,26,19,28,35
202,"картонная коробка","Подстилка для того, чтобы краска не падала на пол",22,13,2,3,3,10,34,36,33,37,19
203,"картонная коробка","Дом для питомца",22,13,1,1,1,10,34,36,33,37,19
204,"картонная коробка","Элемент декора (буквы на стену)",22,13,2,2,2,10,34,36,33,37,19
205,"картонная коробка","Костюм для ребёнка",22,13,2,2,2,10,34,36,33,37,19
206,"картонная коробка","Использовать для хранения вещей",22,13,1,1,1,10,34,36,33,37,19
207,"картонная коробка","Использовать в качестве обоев",22,13,2,2,2,10,34,36,33,37,19
208,"картонная коробка","Относить на переработку",22,13,1,1,1,10,34,36,33,37,19
209,"картонная коробка","Сделать какую-то поделку",22,13,2,1,2,10,34,36,33,37,19
210,"картонная коробка","Основание для плакатов, чтобы они не мялись",22,13,3,3,2,10,34,36,33,37,19
211,"картонная коробка","Можно сделать трафарет",22,13,4,3,3,10,34,36,33,37,19
212,"картонная коробка","Использовать в качестве планшета (для жёсткости)",22,13,3,3,2,10,34,36,33,37,19
213,"картонная коробка","Заклеить окна во время просмотра фильма",22,13,3,4,3,10,34,36,33,37,19
214,"картонная коробка","Сделать шляпу",22,13,2,3,3,10,34,36,33,37,19
215,"картонная коробка","Использовать в качестве мишени",22,13,4,3,2,10,34,36,33,37,19
216,"картонная коробка","В них можно жить",22,13,2,1,1,9,27,29,24,25,35
217,"картонная коробка","Строить дома для котов и собак",22,13,1,1,1,9,27,29,24,25,35
218,"картонная коробка","Высаживать цветы как в клумбах",22,13,1,3,3,9,27,29,24,25,35
219,"картонная коробка","Обклеить ими стены и разрисовать",22,13,2,2,2,9,27,29,24,25,35
220,"картонная коробка","Делить на маленькие части и писать шпаргалки",22,13,4,3,2,9,27,29,24,25,35
221,"картонная коробка","Построить огромный забор",22,13,2,2,2,9,27,29,24,25,35
222,"картонная коробка","Надеть на голову",22,13,2,3,1,9,27,29,24,25,35
223,"картонная коробка","Оригинальный способ использовать картонных коробок был представлен в серии видеоигр Metal Gear Solid в качестве укрытия для главного героя во время шпионских операций",22,13,3,2,2,11,34,28,20,30,27
224,"картонная коробка","Использование коробки в качестве саней",22,13,2,2,3,11,34,28,20,30,27
225,"картонная коробка","Использование коробки вместо рюкзака",22,13,3,3,3,11,34,28,20,30,27
226,"картонная коробка","Использование двух небольших коробок в качестве обуви",22,13,5,4,2,11,34,28,20,30,27
227,"картонная коробка","Комфортабельное жильё из картонных коробок",22,13,1,1,1,11,34,28,20,30,27
228,"картонная коробка","Большая коробка из множества других",22,13,1,2,1,11,34,28,20,30,27
229,"картонная коробка","Из коробок можно крепость для животных",22,13,1,2,1,13,28,36,33,29,20
230,"картонная коробка","Коробки можно сдавать в детские сады, чтобы дети могли с ними играть",22,13,3,2,2,13,28,36,33,29,20
231,"картонная коробка","Из коробок от больших электроприборов получаются отличные дома",22,13,1,1,1,13,28,36,33,29,20
232,"картонная коробка","В коробке может спать маленький ребёнок",22,13,3,2,2,13,28,36,33,29,20
233,"картонная коробка","Если разрезать и разукрасить коробку, из неё получится красивый декор",22,13,2,1,2,13,28,36,33,29,20
234,"картонная коробка","В стары коробках можно хранить разнообразные вещи",22,13,1,1,1,13,28,36,33,29,20
235,"картонная коробка","В коробке можно закопать клад",22,13,5,3,2,13,28,36,33,29,20
236,"картонная коробка","Можно сложить в коробку старые вещи",22,13,1,1,1,13,28,36,33,29,20
237,"картонная коробка","Если добавить ароматизатор в коробку, она будет вкусно пахнуть",22,13,3,1,1,13,28,36,33,29,20
238,"картонная коробка","Если делать коробки внутри мягкими, то и запаковывать не надо будет",22,13,3,1,1,13,28,36,33,29,20
239,"картонная коробка","Часть пустой картонной коробки можно использовать как поверхность для коллажей, рисунков, аппликаций и т.д.",22,13,2,1,2,NA,29,34,34,32,31
240,"картонная коробка","Кусочки картона от коробок можно использовать как клин для чего-либо",22,13,4,4,2,NA,29,34,34,32,31
241,"картонная коробка","Картону можно придать разную форму, поэтому из него можно делать несложные приборы (циферблат) и игрушки",22,13,2,2,2,NA,29,34,34,32,31
242,"картонная коробка","Из картонных коробок можно сделать стену (перегородку)",22,13,2,2,2,NA,29,34,34,32,31
243,"картонная коробка","Постройка дома",22,13,1,1,1,11,23,42,28,23,22
244,"картонная коробка","Корабль",22,13,2,2,2,11,23,42,28,23,22
245,"картонная коробка","Самолёт",22,13,2,2,2,11,23,42,28,23,22
246,"картонная коробка","Мебель",22,13,2,2,2,11,23,42,28,23,22
247,"картонная коробка","Сидение",22,13,2,2,2,11,23,42,28,23,22
248,"картонная коробка","Горка",22,13,2,2,1,11,23,42,28,23,22
249,"картонная коробка","Использование вместо бумаги для письма",22,13,1,1,1,11,23,42,28,23,22
250,"картонная коробка","Одежда",22,13,2,2,2,11,23,42,28,23,22
251,"картонная коробка","Ограда",22,13,2,2,2,11,23,42,28,23,22
252,"картонная коробка","Украшение",22,13,2,1,2,11,23,42,28,23,22
253,"картонная коробка","Дом для домашнего животного (любых форм и размеров)",22,13,1,1,1,11,23,42,28,23,22
254,"картонная коробка","Самый простой, но и нужный способ - использовать их в качестве упаковки для подарка. Красиво и практично!",22,13,2,3,2,9,35,33,35,30,30
255,"картонная коробка","Многие мечтают о камине, но не могут этого себе позволить. Есть решение: его можно построить из коробок",22,13,2,4,2,9,35,33,35,30,30
256,"картонная коробка","Домик для любимого кота",22,13,1,1,1,9,35,33,35,30,30
257,"картонная коробка","Дом-лабиринт для детей",22,13,3,2,1,9,35,33,35,30,30
258,"картонная коробка","Большие кубики (собрать изображение из коробок, на которые нанести целое изображение)",22,13,3,2,4,9,35,33,35,30,30
259,"картонная коробка","Спальное место. Постелить одеяло - и место для гостя готово",22,13,3,3,2,9,35,33,35,30,30
260,"картонная коробка","Красивые коробки можно использовать для интерьера (ваза для декоративных цветов)",22,13,1,2,3,9,35,33,35,30,30
261,"картонная коробка","Кабина для воздушного шара",22,13,3,4,2,9,35,33,35,30,30
262,"картонная коробка","Гантели",22,13,3,3,1,9,35,33,35,30,30
263,"картонная коробка","Использовать при строительстве",22,13,2,1,2,9,35,33,35,30,30
264,"картонная коробка","Коробки можно использовать как топливо",22,13,2,3,2,15,24,36,38,32,19
265,"картонная коробка","Сделать мебель",22,13,2,2,2,15,24,36,38,32,19
266,"картонная коробка","Построить дом",22,13,1,1,1,15,24,36,38,32,19
267,"картонная коробка","Составить аппликацию",22,13,2,2,2,15,24,36,38,32,19
268,"картонная коробка","Использовать как корпус для компьютера",22,13,3,3,3,15,24,36,38,32,19
269,"картонная коробка","Сделать чехол для телефона",22,13,4,3,3,15,24,36,38,32,19
270,"картонная коробка","Укрыться от снега/дождя",22,13,3,3,2,15,24,36,38,32,19
271,"картонная коробка","Теплоизоляция",22,13,3,3,3,15,24,36,38,32,19
272,"картонная коробка","Использовать как кровать",22,13,2,3,2,15,24,36,38,32,19
273,"картонная коробка","Сделать посуду",22,13,2,2,3,15,24,36,38,32,19
274,"картонная коробка","Переработать",22,13,1,1,1,15,24,36,38,32,19
275,"картонная коробка","Отделка интерьера квартиры",22,13,2,2,2,15,24,36,38,32,19
276,"картонная коробка","Использовать для хранения",22,13,1,1,1,15,24,36,38,32,19
277,"картонная коробка","Использовать как изоляцию",22,13,3,3,2,15,24,36,38,32,19
278,"картонная коробка","Использовать для получения огня",22,13,2,3,2,15,24,36,38,32,19
279,"картонная коробка","Можно построить дом из коробок",22,13,1,1,1,12,27,36,21,21,28
280,"картонная коробка","Сделать из коробок одежду",22,13,2,2,2,12,27,36,21,21,28
281,"картонная коробка","Сделать фигуры из коробок",22,13,2,2,2,12,27,36,21,21,28
282,"картонная коробка","Использовать как бумагу, разрезав их",22,13,1,1,2,12,27,36,21,21,28
283,"картонная коробка","Использовать их по назначению",22,13,1,1,1,12,27,36,21,21,28
284,"картонная коробка","Порвать их, затопить в воде и играть с ними как в снежки",22,13,5,5,5,12,27,36,21,21,28
285,"картонная коробка","Обклеить низ скотчем и использовать как ледянку",22,13,2,2,3,12,27,36,21,21,28
286,"картонная коробка","Сдать на макулатуру и получить за это деньги",22,13,2,2,3,12,27,36,21,21,28
287,"картонная коробка","Сделать большой картонный самолётик",22,13,2,2,2,12,27,36,21,21,28
