"ID","prompt","response","rater1","rater2","rater3","rater4","set","itemID","item_english","openness","CAQ"
116,"筷子","乐器",3,3,3,3,3,NA,"chopsticks",33,6
116,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",33,6
116,"筷子","搅拌器",1,1,1,1,3,NA,"chopsticks",33,6
117,"易拉罐","传声筒",4,4,3,5,3,NA,"can",31,7
117,"易拉罐","摆件",3,3,3,1,3,NA,"can",31,7
117,"易拉罐","望远镜",4,4,3,5,3,NA,"can",31,7
117,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",31,7
117,"筷子","洋娃娃",3,3,3,3,3,NA,"chopsticks",31,7
117,"筷子","笔",2,1,2,3,3,NA,"chopsticks",31,7
118,"易拉罐","足球",4,3,2,3,3,NA,"can",37,15
118,"易拉罐","铁片",2,3,1,3,3,NA,"can",37,15
118,"易拉罐","马桶",5,4,2,5,3,NA,"can",37,15
118,"筷子","手指",2,3,1,1,3,NA,"chopsticks",37,15
118,"筷子","牙刷",4,4,1,2,3,NA,"chopsticks",37,15
118,"筷子","铲子",3,3,1,2,3,NA,"chopsticks",37,15
119,"易拉罐","冰敷",3,4,3,5,3,NA,"can",54,29
119,"易拉罐","擀面",4,4,3,4,3,NA,"can",54,29
119,"易拉罐","花盆",2,3,2,2,3,NA,"can",54,29
119,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",54,29
119,"筷子","暗器",3,4,2,3,3,NA,"chopsticks",54,29
119,"筷子","通下水道",2,3,1,1,3,NA,"chopsticks",54,29
120,"易拉罐","水杯",2,2,1,2,3,NA,"can",36,5
120,"易拉罐","笔筒",1,1,1,1,3,NA,"can",36,5
120,"易拉罐","花瓶",2,2,1,3,3,NA,"can",36,5
120,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",36,5
120,"筷子","插孔",3,2,2,2,3,NA,"chopsticks",36,5
120,"筷子","直钩",3,3,2,2,3,NA,"chopsticks",36,5
121,"易拉罐","听筒",4,3,3,5,3,NA,"can",31,2
121,"易拉罐","小足球",4,3,2,3,3,NA,"can",31,2
121,"易拉罐","手机支架",2,2,2,3,3,NA,"can",31,2
121,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",31,2
121,"筷子","支撑架",2,2,1,2,3,NA,"chopsticks",31,2
121,"筷子","笔筒",3,1,2,3,3,NA,"chopsticks",31,2
122,"易拉罐","桌子",3,3,1,3,3,NA,"can",38,2
122,"易拉罐","灯笼",4,2,2,5,3,NA,"can",38,2
122,"易拉罐","装饰",1,3,2,1,3,NA,"can",38,2
122,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",38,2
122,"筷子","艺术品",3,2,1,2,3,NA,"chopsticks",38,2
122,"筷子","装饰",2,2,1,2,3,NA,"chopsticks",38,2
123,"易拉罐","储物罐",2,1,1,1,3,NA,"can",36,1
123,"易拉罐","喝水",1,1,1,2,3,NA,"can",36,1
123,"易拉罐","回收",1,2,1,1,3,NA,"can",36,1
123,"筷子","串",2,2,1,3,3,NA,"chopsticks",36,1
123,"筷子","吃饭",1,1,1,1,3,NA,"chopsticks",36,1
123,"筷子","棒棒糖",3,3,2,1,3,NA,"chopsticks",36,1
124,"易拉罐","制造噪音",2,3,1,3,3,NA,"can",41,0
124,"易拉罐","模具",3,3,2,3,3,NA,"can",41,0
124,"易拉罐","烟灰缸",3,2,1,3,3,NA,"can",41,0
124,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",41,0
124,"筷子","抽签",3,3,1,1,3,NA,"chopsticks",41,0
124,"筷子","柴",2,2,2,2,3,NA,"chopsticks",41,0
125,"易拉罐","台灯",4,4,2,3,3,NA,"can",38,1
125,"易拉罐","花盆",2,3,2,2,3,NA,"can",38,1
125,"易拉罐","衣服",3,3,2,5,3,NA,"can",38,1
125,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",38,1
125,"筷子","衣架",3,2,2,3,3,NA,"chopsticks",38,1
125,"筷子","鼓棒",3,3,2,3,3,NA,"chopsticks",38,1
126,"易拉罐","擀面杖",4,3,3,4,3,NA,"can",34,5
126,"易拉罐","烤肉的锅",3,3,4,3,3,NA,"can",34,5
126,"易拉罐","砸核桃",4,3,2,4,3,NA,"can",34,5
126,"筷子","掏火棍",2,2,2,1,3,NA,"chopsticks",34,5
126,"筷子","搅拌棍",1,1,1,1,3,NA,"chopsticks",34,5
126,"筷子","钉子",3,3,1,2,3,NA,"chopsticks",34,5
127,"易拉罐","加热用的容器",2,3,3,1,3,NA,"can",44,0
127,"易拉罐","拔火罐",3,3,2,3,3,NA,"can",44,0
127,"易拉罐","解压小东西",2,2,1,2,3,NA,"can",44,0
127,"筷子","做发簪",2,2,1,3,3,NA,"chopsticks",44,0
127,"筷子","蒸东西用的隔热",3,3,3,2,3,NA,"chopsticks",44,0
127,"筷子","门栓",2,3,2,3,3,NA,"chopsticks",44,0
128,"易拉罐","戒指",3,4,3,2,3,NA,"can",36,2
128,"易拉罐","水瓢",3,2,2,1,3,NA,"can",36,2
128,"易拉罐","笔筒",1,1,1,1,3,NA,"can",36,2
128,"筷子","工艺品",3,2,1,2,3,NA,"chopsticks",36,2
128,"筷子","笔",2,1,2,3,3,NA,"chopsticks",36,2
128,"筷子","簪子",2,2,1,2,3,NA,"chopsticks",36,2
129,"易拉罐","城堡",3,4,2,3,3,NA,"can",38,1
129,"易拉罐","戒指",3,3,3,2,3,NA,"can",38,1
129,"易拉罐","花瓶",2,2,1,3,3,NA,"can",38,1
129,"筷子","杠杆",3,4,2,4,3,NA,"chopsticks",38,1
129,"筷子","桥",4,4,2,4,3,NA,"chopsticks",38,1
129,"筷子","植物",3,3,1,2,3,NA,"chopsticks",38,1
130,"易拉罐","炮筒",3,4,3,3,3,NA,"can",48,7
130,"易拉罐","烟灰缸",3,2,1,3,3,NA,"can",48,7
130,"易拉罐","花盆",2,3,2,2,3,NA,"can",48,7
130,"筷子","弹弓",3,3,2,4,3,NA,"chopsticks",48,7
130,"筷子","手机支架",3,3,1,2,3,NA,"chopsticks",48,7
130,"筷子","打蛋器",2,2,2,1,3,NA,"chopsticks",48,7
131,"易拉罐","垃圾桶",3,1,1,3,3,NA,"can",43,1
131,"易拉罐","烟灰缸",3,2,1,3,3,NA,"can",43,1
131,"易拉罐","花盆",2,2,2,2,3,NA,"can",43,1
131,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",43,1
131,"筷子","搅拌棒",1,3,1,1,3,NA,"chopsticks",43,1
131,"筷子","织毛衣",3,1,3,4,3,NA,"chopsticks",43,1
132,"易拉罐","建房子",3,3,1,3,3,NA,"can",46,5
132,"易拉罐","笔筒",1,1,1,1,3,NA,"can",46,5
132,"易拉罐","足球",4,3,2,3,3,NA,"can",46,5
132,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",46,5
132,"筷子","吸管",3,4,1,1,3,NA,"chopsticks",46,5
132,"筷子","画笔",2,4,2,3,3,NA,"chopsticks",46,5
133,"易拉罐","存钱罐",2,1,1,2,3,NA,"can",35,1
133,"易拉罐","机器人",5,4,2,5,3,NA,"can",35,1
133,"易拉罐","笔筒",1,1,1,1,3,NA,"can",35,1
133,"筷子","织毛衣",3,3,3,4,3,NA,"chopsticks",35,1
133,"筷子","起瓶器",3,2,3,3,3,NA,"chopsticks",35,1
133,"筷子","首饰",3,3,1,5,3,NA,"chopsticks",35,1
134,"易拉罐","回收利用",2,1,1,1,3,NA,"can",44,108
134,"易拉罐","烟灰缸",3,3,1,3,3,NA,"can",44,108
134,"易拉罐","花盆",2,2,2,2,3,NA,"can",44,108
134,"筷子","串烧烤",3,2,1,1,3,NA,"chopsticks",44,108
134,"筷子","做模具",3,4,1,3,3,NA,"chopsticks",44,108
134,"筷子","疏通厨房下水道",2,3,1,1,3,NA,"chopsticks",44,108
135,"易拉罐","保护盾",2,4,2,3,3,NA,"can",28,0
135,"易拉罐","做板凳",3,3,2,3,3,NA,"can",28,0
135,"易拉罐","头上饰品",2,3,1,1,3,NA,"can",28,0
135,"筷子","做模型",3,3,1,3,3,NA,"chopsticks",28,0
135,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",28,0
135,"筷子","直尺",2,2,2,2,3,NA,"chopsticks",28,0
136,"易拉罐","手工",2,3,1,2,3,NA,"can",37,3
136,"易拉罐","插花",3,2,1,3,3,NA,"can",37,3
136,"易拉罐","球",4,3,2,3,3,NA,"can",37,3
136,"筷子","搭积木",3,4,2,3,3,NA,"chopsticks",37,3
136,"筷子","支撑物",2,2,1,2,3,NA,"chopsticks",37,3
136,"筷子","装饰",2,2,1,2,3,NA,"chopsticks",37,3
137,"易拉罐","戒指",3,2,3,2,3,NA,"can",31,9
137,"易拉罐","衣服",3,3,2,5,3,NA,"can",31,9
137,"易拉罐","车",3,4,1,5,3,NA,"can",31,9
137,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",31,9
137,"筷子","扁担",3,3,2,3,3,NA,"chopsticks",31,9
137,"筷子","时钟指针",4,3,3,4,3,NA,"chopsticks",31,9
138,"易拉罐","存储器",2,1,2,5,3,NA,"can",43,1
138,"易拉罐","滚轮",3,2,2,3,3,NA,"can",43,1
138,"易拉罐","装饰品",1,3,2,1,3,NA,"can",43,1
138,"筷子","搅拌",1,1,1,1,3,NA,"chopsticks",43,1
138,"筷子","杠杠",4,2,2,4,3,NA,"chopsticks",43,1
138,"筷子","燃烧",2,2,2,2,3,NA,"chopsticks",43,1
139,"易拉罐","屏蔽器",4,3,4,5,3,NA,"can",36,4
139,"易拉罐","笔筒",1,1,1,1,3,NA,"can",36,4
139,"易拉罐","集阳光器",3,4,4,5,3,NA,"can",36,4
139,"筷子","插椰子洞",2,1,3,1,3,NA,"chopsticks",36,4
139,"筷子","武器",2,2,1,3,3,NA,"chopsticks",36,4
139,"筷子","蒸东西的架子",3,2,3,3,3,NA,"chopsticks",36,4
140,"易拉罐","戒指",3,3,3,2,3,NA,"can",40,2
140,"易拉罐","花盆",2,2,2,2,3,NA,"can",40,2
140,"易拉罐","装笔筒",1,1,1,1,3,NA,"can",40,2
140,"筷子","捅破薄的物品",2,2,2,1,3,NA,"chopsticks",40,2
140,"筷子","搅拌",1,1,1,1,3,NA,"chopsticks",40,2
140,"筷子","燃烧",2,1,2,1,3,NA,"chopsticks",40,2
141,"易拉罐","扔垃圾",3,1,1,1,3,NA,"can",43,2
141,"易拉罐","扩音器",3,4,4,5,3,NA,"can",43,2
141,"易拉罐","wifi放大器",5,4,5,5,3,NA,"can",43,2
141,"筷子","垫锅盖",3,3,3,3,3,NA,"chopsticks",43,2
141,"筷子","用一捆筷子擀颈部缓解落枕状况",4,4,5,5,3,NA,"chopsticks",43,2
141,"筷子","穿玉米的签子",3,2,2,1,3,NA,"chopsticks",43,2
142,"易拉罐","做物理实验",4,5,2,5,3,NA,"can",44,2
142,"易拉罐","求婚",3,4,3,2,3,NA,"can",44,2
142,"易拉罐","花盆",2,2,2,2,3,NA,"can",44,2
142,"筷子","当做簪子",2,2,1,2,3,NA,"chopsticks",44,2
142,"筷子","擀面杖",3,4,2,3,3,NA,"chopsticks",44,2
142,"筷子","通下水道",2,2,1,1,3,NA,"chopsticks",44,2
143,"易拉罐","戒指",3,3,3,2,3,NA,"can",47,9
143,"易拉罐","笔筒",1,1,1,1,3,NA,"can",47,9
143,"易拉罐","花瓶",2,2,1,3,3,NA,"can",47,9
143,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",47,9
143,"筷子","擀面杖",3,4,2,3,3,NA,"chopsticks",47,9
143,"筷子","武器",2,2,1,3,3,NA,"chopsticks",47,9
144,"易拉罐","做刀具",3,3,4,3,3,NA,"can",49,10
144,"易拉罐","做灯笼",4,3,2,1,3,NA,"can",49,10
144,"易拉罐","当花盆",2,2,2,2,3,NA,"can",49,10
144,"筷子","簪子",2,2,1,2,3,NA,"chopsticks",49,10
144,"筷子","纸风车的杆",4,3,2,2,3,NA,"chopsticks",49,10
144,"筷子","飞镖",3,3,2,3,3,NA,"chopsticks",49,10
145,"易拉罐","桌角垫高",2,3,2,3,3,NA,"can",49,0
145,"易拉罐","烧烤盒盒",3,3,4,3,3,NA,"can",49,0
145,"易拉罐","花瓶",2,2,1,3,3,NA,"can",49,0
145,"筷子","做手工玩具",2,2,1,2,3,NA,"chopsticks",49,0
145,"筷子","挂东西",2,2,2,2,3,NA,"chopsticks",49,0
145,"筷子","搅拌棒",1,3,1,1,3,NA,"chopsticks",49,0
146,"易拉罐","垫桌角",2,3,2,3,3,NA,"can",48,0
146,"易拉罐","玩具",2,2,2,2,3,NA,"can",48,0
146,"易拉罐","装东西",1,1,1,1,3,NA,"can",48,0
146,"筷子","当旗杆",3,2,2,2,3,NA,"chopsticks",48,0
146,"筷子","玩具",2,2,2,2,3,NA,"chopsticks",48,0
146,"筷子","簪子",2,2,1,2,3,NA,"chopsticks",48,0
147,"易拉罐","打人",2,2,2,3,3,NA,"can",46,3
147,"易拉罐","玩游戏",3,3,1,2,3,NA,"can",46,3
147,"易拉罐","练捏力",2,3,1,3,3,NA,"can",46,3
147,"筷子","吃饭",1,1,1,1,3,NA,"chopsticks",46,3
147,"筷子","当簪子",2,2,1,2,3,NA,"chopsticks",46,3
147,"筷子","装饰",2,2,1,2,3,NA,"chopsticks",46,3
148,"易拉罐","小型垃圾桶",3,2,1,3,3,NA,"can",35,6
148,"易拉罐","工艺品",2,3,1,2,3,NA,"can",35,6
148,"易拉罐","烛台",2,3,2,3,3,NA,"can",35,6
148,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",35,6
148,"筷子","拧绳子的工具",2,3,5,2,3,NA,"chopsticks",35,6
148,"筷子","通洗手池",2,3,1,1,3,NA,"chopsticks",35,6
149,"易拉罐","做装饰",1,3,2,1,3,NA,"can",46,4
149,"易拉罐","提取铝",2,4,3,5,3,NA,"can",46,4
149,"易拉罐","装盆栽",2,3,1,2,3,NA,"can",46,4
149,"筷子","做手工",2,3,1,2,3,NA,"chopsticks",46,4
149,"筷子","做毛笔",2,1,2,3,3,NA,"chopsticks",46,4
149,"筷子","做簪子",2,2,1,2,3,NA,"chopsticks",46,4
150,"易拉罐","挎包",3,4,2,2,3,NA,"can",42,4
150,"易拉罐","擀面杖",4,3,2,4,3,NA,"can",42,4
150,"易拉罐","笔筒",1,1,1,1,3,NA,"can",42,4
150,"筷子","搅拌棒",1,3,1,1,3,NA,"chopsticks",42,4
150,"筷子","玩具",2,2,2,2,3,NA,"chopsticks",42,4
150,"筷子","钳子",2,3,3,3,3,NA,"chopsticks",42,4
151,"易拉罐","万花筒",3,3,3,2,3,NA,"can",35,0
151,"易拉罐","拼贴画",4,3,1,2,3,NA,"can",35,0
151,"易拉罐","花盆",2,2,2,2,3,NA,"can",35,0
151,"筷子","杯垫",3,3,2,2,3,NA,"chopsticks",35,0
151,"筷子","玩具船",2,4,2,2,3,NA,"chopsticks",35,0
151,"筷子","簪子",2,2,1,2,3,NA,"chopsticks",35,0
152,"易拉罐","做盆栽",2,2,1,2,3,NA,"can",43,1
152,"易拉罐","戒指",3,3,3,2,3,NA,"can",43,1
152,"易拉罐","飞镖",4,3,2,3,3,NA,"can",43,1
152,"筷子","烤烧烤",3,2,1,3,3,NA,"chopsticks",43,1
152,"筷子","玩玻珠游戏",3,3,3,2,3,NA,"chopsticks",43,1
152,"筷子","算卦",3,3,3,4,3,NA,"chopsticks",43,1
201,"易拉罐","打蛋器",3,3,3,3,3,NA,"can",34,0
201,"易拉罐","玩具",2,2,2,2,3,NA,"can",34,0
201,"易拉罐","笔筒",1,1,1,1,3,NA,"can",34,0
201,"筷子","分离鸡蛋",2,1,4,1,3,NA,"chopsticks",34,0
201,"筷子","扎头发",2,2,1,2,3,NA,"chopsticks",34,0
201,"筷子","打孔",2,3,2,2,3,NA,"chopsticks",34,0
202,"易拉罐","储存罐",2,2,1,1,3,NA,"can",41,1
202,"易拉罐","烧烤架",3,3,4,3,3,NA,"can",41,1
202,"易拉罐","花瓶",2,3,1,3,3,NA,"can",41,1
202,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",41,1
202,"筷子","支架",3,2,1,2,3,NA,"chopsticks",41,1
202,"筷子","玩具",2,2,2,2,3,NA,"chopsticks",41,1
203,"易拉罐","戒指",3,2,3,2,3,NA,"can",31,0
203,"易拉罐","烤肉",3,3,4,3,3,NA,"can",31,0
203,"易拉罐","花瓶",2,3,1,3,3,NA,"can",31,0
203,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",31,0
203,"筷子","擀面杖",3,4,2,3,3,NA,"chopsticks",31,0
203,"筷子","饰品",3,3,1,2,3,NA,"chopsticks",31,0
204,"易拉罐","练习踢球的练习物",4,3,2,4,3,NA,"can",35,1
204,"易拉罐","练射击",3,4,2,3,3,NA,"can",35,1
204,"易拉罐","融化做新材料",2,4,2,4,3,NA,"can",35,1
204,"筷子","做发簪",2,2,1,3,3,NA,"chopsticks",35,1
204,"筷子","当尺子",2,3,2,4,3,NA,"chopsticks",35,1
204,"筷子","当武器",2,2,1,3,3,NA,"chopsticks",35,1
205,"易拉罐","插花",3,3,1,3,3,NA,"can",41,0
205,"易拉罐","求婚",3,3,3,2,3,NA,"can",41,0
205,"易拉罐","玩具车",2,2,2,2,3,NA,"can",41,0
205,"筷子","搅拌棒",1,3,1,1,3,NA,"chopsticks",41,0
205,"筷子","教具",2,4,1,2,3,NA,"chopsticks",41,0
205,"筷子","烤串",2,2,1,1,3,NA,"chopsticks",41,0
206,"易拉罐","插花瓶",2,3,1,3,3,NA,"can",44,6
206,"易拉罐","笔筒",1,1,1,1,3,NA,"can",44,6
206,"易拉罐","零钱罐",2,2,1,2,3,NA,"can",44,6
206,"筷子","头饰品",3,3,1,2,3,NA,"chopsticks",44,6
206,"筷子","开酒瓶器",2,2,4,2,3,NA,"chopsticks",44,6
206,"筷子","杯垫子",3,3,2,3,3,NA,"chopsticks",44,6
207,"易拉罐","烤肉",3,3,4,3,3,NA,"can",38,0
207,"易拉罐","艺术品",2,2,1,2,3,NA,"can",38,0
207,"易拉罐","蜡烛",2,3,3,1,3,NA,"can",38,0
207,"筷子","头饰",3,3,1,2,3,NA,"chopsticks",38,0
207,"筷子","打人",2,3,2,3,3,NA,"chopsticks",38,0
207,"筷子","暗器",3,4,1,3,3,NA,"chopsticks",38,0
208,"易拉罐","浮标",5,5,4,5,3,NA,"can",41,3
208,"易拉罐","花瓶",2,3,1,3,3,NA,"can",41,3
208,"易拉罐","装饰品",1,1,2,1,3,NA,"can",41,3
208,"筷子","固定棒",2,3,1,2,3,NA,"chopsticks",41,3
208,"筷子","搅拌棒",1,3,1,1,3,NA,"chopsticks",41,3
208,"筷子","支架",3,3,1,2,3,NA,"chopsticks",41,3
209,"易拉罐","刀",3,3,4,3,3,NA,"can",41,23
209,"易拉罐","笔筒",1,1,1,1,3,NA,"can",41,23
209,"易拉罐","雪糕模具",3,3,2,3,3,NA,"can",41,23
209,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",41,23
209,"筷子","毛线针",3,2,3,4,3,NA,"chopsticks",41,23
209,"筷子","通水管工具",3,3,1,1,3,NA,"chopsticks",41,23
210,"易拉罐","信号聚拢装置",5,4,4,5,3,NA,"can",40,20
210,"易拉罐","种花",2,2,1,3,3,NA,"can",40,20
210,"易拉罐","铝回收",2,4,3,5,3,NA,"can",40,20
210,"筷子","书签",3,2,1,1,3,NA,"chopsticks",40,20
210,"筷子","发簪",2,2,1,3,3,NA,"chopsticks",40,20
210,"筷子","种花支架",3,3,1,2,3,NA,"chopsticks",40,20
211,"易拉罐","花盆",2,2,2,2,3,NA,"can",38,0
211,"易拉罐","装饰品",1,1,2,1,3,NA,"can",38,0
211,"易拉罐","铁器",2,3,2,3,3,NA,"can",38,0
211,"筷子","固定",2,2,1,2,3,NA,"chopsticks",38,0
211,"筷子","扎头发",2,2,1,2,3,NA,"chopsticks",38,0
211,"筷子","搅拌",1,1,1,1,3,NA,"chopsticks",38,0
212,"易拉罐","做戒指",3,2,3,2,3,NA,"can",32,1
212,"易拉罐","做烟筒",3,3,1,3,3,NA,"can",32,1
212,"易拉罐","装尿",2,1,1,1,3,NA,"can",32,1
212,"筷子","做工艺品",3,2,1,2,3,NA,"chopsticks",32,1
212,"筷子","吃饭",1,1,1,1,3,NA,"chopsticks",32,1
212,"筷子","通下水道",2,3,1,1,3,NA,"chopsticks",32,1
213,"易拉罐","水杯",2,2,1,2,3,NA,"can",39,16
213,"易拉罐","笔筒",1,1,1,1,3,NA,"can",39,16
213,"易拉罐","自制保湿器",3,3,4,3,3,NA,"can",39,16
213,"筷子","搅拌棒",1,1,1,1,3,NA,"chopsticks",39,16
213,"筷子","木质筷子用作防触电的触碰器",5,4,5,5,3,NA,"chopsticks",39,16
213,"筷子","烧烤用的签子",2,2,1,1,3,NA,"chopsticks",39,16
214,"易拉罐","做煮面的小锅",3,3,4,3,3,NA,"can",35,0
214,"易拉罐","内侧做镜子",4,3,3,3,3,NA,"can",35,0
214,"易拉罐","剪开后做小刀",3,3,4,3,3,NA,"can",35,0
214,"筷子","做搅拌棒",1,3,1,1,3,NA,"chopsticks",35,0
214,"筷子","做标度尺",2,2,3,3,3,NA,"chopsticks",35,0
